"extraction_id","source_document","source_path","business_unit","content_type","extraction_date","extracted_by","readiness","review_status","reviewer","final_disposition","destination_path","notes"
"W1S2-002","APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Parties/Customers/0. Proposal Templates/Acumatica/APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-002-ACU-Distribution.md","Acumatica Distribution Edition. From Sept 2025 template. Remediated 2026-06-10 Session B Part 1: No content changes — content verified clean against Sept 2025 template. Approved by Hein Blignaut 2026-06-10."
"W1S2-003","APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Parties/Customers/0. Proposal Templates/Acumatica/APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-003-ACU-Inventory.md","Acumatica Inventory Control. From Sept 2025 template. Remediated 2026-06-10 Session B Part 1: LIFO removed from costing methods row (prohibited under IFRS/IAS 2 in South Africa). 'Demand forecasting integration' removed from Replenishment row (not a confirmed native Acumatica feature). Approved by Hein Blignaut 2026-06-10."
"W1S2-004","APPSolve_HyDac_Proposal_20241211_V5.1.docx","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1.docx","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-004-ACU-Manufacturing.md","Acumatica Manufacturing (Prime Manufacturing Edition + Foundation + Discrete + MRP + Estimating + ECC). From HyDac V5.1 only. Remediated 2026-06-10 Session B Part 1: Three Manufacturing Platform table rows corrected — Advanced Inventory row (was Estimating content), MRP row (was Project Accounting content), Estimating row (was ECC content). Standalone sections unchanged. Approved by Hein Blignaut 2026-06-10."
"W1S2-005","APPSolve_HyDac_Proposal_20241211_V5.1.docx","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1.docx","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-005-ACU-CRM.md","Acumatica CRM module. From HyDac V5.1. Remediated 2026-06-10 Session B Part 1: No content changes — content verified clean (HyDac V5.1). Approved by Hein Blignaut 2026-06-10."
"W1S2-006","APPSolve_Interconnect_Proposal V2.0.docx","Parties/Customers/Interconnect Systems/RFP/ERP Implementation/1. Working/APPSolve_Interconnect_Proposal V2.0.docx","Acumatica","Capability Statement","2026-06-12","Claude (AI extraction)","APPROVED","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-006-ACU-FieldServices.md","Approved 2026-06-12 by Hein Blignaut. approved_for_reuse: Yes. 11 sections. Source: Interconnect Proposal V2.0 §3.9 (paras 714–767). Interconnect Systems approved as referenceable Field Services client (BU decision 2026-06-12). 4 standing pre-tender checks (PT-W6-001–004). KB copy: 06_Capabilities/Acumatica/Field_Services/W1S2-006-ACU-FieldServices.md."
"W1S2-007","BU Lead Decisions D-W7-001 through D-W7-004","(no corpus source — confirmed by full search 2026-06-12)","Acumatica","Capability Statement","2026-06-12","Claude (AI authoring from BU Lead decisions)","APPROVED","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-007-ACU-PayrollIntegration.md","Approved 2026-06-12 by Hein Blignaut. approved_for_reuse: Yes. 8 sections + Section 17 Approval Record. Source: BU Lead decisions D-W7-001–D-W7-004 (no corpus source). APPSolve integration capability only — not native SA payroll. PaySpace is payroll system of record and owns PAYE/UIF/SDL/IRP5/EMP501. Acumatica is financial system of record. Integration method client-specific (API / middleware / manual). No reference clients approved. 5 risks (R-W7-001–005). 4 standing pre-tender checks (PT-W7-001–004). KB copy: 06_Capabilities/Acumatica/Payroll_Integration/W1S2-007-ACU-PayrollIntegration.md (28,148 bytes)."
"W1S2-008","","","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","STRUCTURE ONLY","Archived","Hein Blignaut","Archived","07_Approved_Content/Candidate_Content/_Archived_Superseded/W1S2-008-ACU-Construction-DRAFT.md","CONTENT GAP — Construction Edition not found in reviewed templates. Archived 2026-06-10 following Wave 2 assessment: no corpus evidence, no confirmed APPSolve sales motion. Reopen only if Construction Edition becomes an active APPSolve offering."
"W1S2-009","APPSolve_HyDac_Proposal_20241211_V5.1.docx","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1.docx","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-009-ACU-ProjectAccounting.md","Acumatica Project Accounting. From HyDac V5.1. Remediated 2026-06-10 Session B Part 1: Source column added to features table. Verification complete 2026-06-10: Change Order Management CONFIRMED (help.acumatica.com PM308000) — row retained with revised wording. Manufacturing Integration CONFIRMED WITH PREREQUISITES (help.acumatica.com) — row retained with revised wording (PJ order type; Update Project setting; requires Manufacturing Edition + Project Accounting). Intercompany Projects NOT CONFIRMED — row removed (separate Financial Management module). Intercompany Accounting note retained as cross-reference only. 8 feature rows: 6 extracted + 2 verified. Approved by Hein Blignaut 2026-06-10."
"W1S3-001","APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx","BeBanking","Product Overview","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-001-BB-ProductOverview.md","Remediated 2026-06-10: module table updated (Secure File Transfer and Automated Receipt Creation removed BQ7; ABSA Proof of Payment Integration and International and Forex Payment Processing added BQ7). ERP compatibility updated: Oracle Fusion and SAP added (BQ6 BU lead); Acumatica scope specified (BQ5). Approval language updated to flexible framework (BQ2). Geographic framing added. Decision D1 applied 2026-06-10: SAP entry updated to 'BeBanking integrates with SAP environments'. Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-002","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-002-BB-HostToHostBanking.md","Remediated 2026-06-10: Two-Level Approval replaced with configurable flexible approval framework (BQ2); Connect Direct replaced with API/SFTP (BQ1); bank list replaced with full confirmed 9-bank list (BQ4); PAY Approval Level 1/2 removed; Acumatica payroll exclusion added; Oracle Fusion and Acumatica added (BQ5 BQ6). Decision D5 applied 2026-06-10: AI_CONTEXT.md banking partner rule updated to confirmed 9-bank list. Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-003","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-003-BB-SupplierPayments.md","Supplier payments capability. SITA v1.06. Remediated 2026-06-10: 2-Level Approval Architecture replaced with flexible approval framework (BQ2). AVS confirmed active (BQ8). Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-004","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-004-BB-PayrollPayments.md","Payroll H2H payments. SITA v1.06. Remediated 2026-06-10: PAY Approval Level 1/2 replaced with flexible approval framework (BQ2); payroll ERP scope corrected to Oracle EBS and Oracle Fusion Applications only — Acumatica payroll excluded (BQ5 clarification); transmission updated to API/SFTP (BQ1). Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-005","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-005-BB-InternationalAndForexPayments.md","POSSIBLE GAP — Forex. Authored 2026-06-10 from confirmed Session C fact baseline (BQ7, BQ11, BQ12). Six review findings resolved: SWIFT indirect model confirmed; CMA Lesotho/Eswatini banking references removed; SAP module detail removed; treasury use case replaced with AP-initiated; international reach wording standardised; Parliament document recorded as future enhancement source. Approved by Hein Blignaut 2026-06-10."
"W1S3-006","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-006-BB-ERPIntegration.md","Remediated 2026-06-10: Connect Direct removed (BQ1); IBY module reference removed; Oracle Fusion section added (BQ6); Acumatica section rewritten (BQ5); Acumatica payroll exclusion added; SAP section added (BU lead confirmed); Automated Receipt Creation removed (retired BQ7); Secure File Transfer Utility removed (BQ7). Decision D1 applied 2026-06-10: SAP section reworded — 'BeBanking integrates with SAP environments'; 'SAP AP' module reference removed. Decision D2 applied 2026-06-10: ACH terminology removed from Acumatica capabilities — replaced with 'ZAR domestic EFT using bank-specific payment formats'. Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-007","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-007-BB-Security.md","Security features. SITA v1.06. Remediated 2026-06-10: Connect Direct/SSH replaced with API/TLS + SFTP-over-SSH (BQ1); AP/PAY Level 1/2 replaced with flexible approval framework (BQ2); POPIA compliance section added (BQ13); GDPR roadmap noted (BQ13). Decision D4 applied 2026-06-10: GDPR roadmap wording retained as-is. Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-008","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Architecture","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-008-BB-Architecture.md","Remediated 2026-06-10: architecture diagram redrawn for API-first model; Dedicated Banking Server removed (BQ1); Secure File Transfer Utility removed (retired BQ7); Connect Direct removed (BQ1); IBY removed; AR receipt creation removed (retired BQ7); cloud ERP deployment note added (BQ5 BQ6). Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-009","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Hosting Model","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-009-BB-HostingModel.md","Remediated 2026-06-10: Connect Direct hosting references removed (BQ1); Dedicated Banking Server removed (BQ1); 24x7x365 corrected to 24x7 monitoring with after-hours support services (BQ8/BQ10); cloud ERP deployment added (BQ5 BQ6); licensing model rewritten — subscription-only model (BQ9). Decision D3 applied 2026-06-10: support model table marked as validated against confirmed product functionality (BQ8 BQ10). Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W1S3-010","APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","BeBanking","Capability Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/BeBanking/W1S3-010-BB-MonitoringAutomation.md","Remediated 2026-06-10: Automated Receipt Creation removed (retired BQ7); bank statement import updated to API/SFTP (BQ1); exchange rate loading updated to multi-provider (BQ12); monitoring section rewritten from confirmed baseline (BQ10); AR section removed (retired BQ7); Connect Direct removed (BQ1). Decision D3 applied 2026-06-10: monitoring and audit tables marked as validated against confirmed product functionality (BQ10). Decision D6 applied 2026-06-10: internal wording note removed. Approved by Hein Blignaut 2026-06-10. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-10."
"W2S1-001","APPSolve_MTN_DBA_RFP_RFX-1000004246_v1.0.docx + Multiple sources","Parties/Customers/MTN/RFP/2026 DBA MTN SA/Working/ + SAA, RedPath Mining, Hollywood Bets, PayInc, KPMG, Mpact, BankServAfrica","Oracle","Fusion Capability Statement","2026-06-11","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W2S1-001-ORA-FusionCapability.md","Wave 2 Session 1. Approved 2026-06-11 by Hein Blignaut. Validation pass returned zero findings. BU Lead decisions applied: Nala confirmed Financials+Projects — 8-country footprint — referenceable; A-003 (Hollywood Bets go-live) closed — Mpact reference card accepted; FR-004 resolved Option A (SCM restricted-use notice applied at top of Section 6). Pre-tender checks A-001 A-002 A-004 remain open. DFA not available for reference. Candidate file at Candidate_Content/Oracle/ marked SUPERSEDED — manual deletion required via Finder. See ORACLE_FINANCE_SOURCE_NOTES.md."
"W2S1-003","APPSolve_MTN_DBA_RFP_RFX-1000004246_v1.0.docx","Parties/Customers/MTN/RFP/2026 DBA MTN SA/Working/APPSolve_MTN_DBA_RFP_RFX-1000004246_v1.0.docx","Oracle","DBA Executive Summary","2026-06-11","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W2S1-003-ORA-DBAExecutiveSummary.md","Approved 2026-06-11 by Hein Blignaut. Wave 2 Session 1. Primary source: MTN 2026 DBA RFP (April 2026, 1495 lines). HIST-002 superseded — zero content extracted. 12 sections. BU Lead decisions applied: FR-D (DFA excluded), FR-F (metric removed), FR-G (count softened), Section 7.4 rewritten (POPIA framing changed to client-obligation-facing; AI-authored bridging removed), A-005 (24x7 qualified to where contractually required), A-006 (CIM confirmed standard), A-007 (at no cost removed — Dedicated CSM engagement model). W2S1-004 reuse map: 16 content blocks pre-assigned. Pre-tender use: confirm client citability A-001 A-002 A-003."
"W2S1-004","APPSolve_MTN_DBA_RFP_RFX-1000004246_v1.0.docx","Parties/Customers/MTN/RFP/2026 DBA MTN SA/Working/APPSolve_MTN_DBA_RFP_RFX-1000004246_v1.0.docx","Oracle","Managed Services Support Model","2026-06-11","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W2S1-004-ORA-ManagedServicesSupportModel.md","Approved 2026-06-11 by Hein Blignaut. Wave 2 Session 1. 15 sections. Primary source: MTN 2026 DBA RFP (April 2026, 1495 lines). 16 pre-assigned content blocks (B-001 through Q23). Complements W2S1-003 (approved 2026-06-11). All 9 factual risks resolved. All 7 assumptions (A-W4-001 through A-W4-007) scoped and resolved. No prohibited wording. No MTN-specific metrics. No fixed SLA commitments. No commercial commitments. Suitable for reuse in Oracle managed services tenders. Superseded Candidate file at Candidate_Content/Oracle/ — manual deletion required via Finder."
"W2S1-002","TMPL-002 Oracle EBS Template.docx; ATNS_APPsolve Support Proposal V2.docx; KPMG SADC Rollout Proposal 20210706.docx; ARM OCI Success Story.docx; Assore SOW.2022.docx; EBS Customer List.xlsx; ARM-2025-IT045 (July 2025 WON)","Parties/Customers/0. Proposal Templates/Oracle EBS/; ATNS/RFP/EBS Support 2025/1.Working/; Parties/Customers/KPMG/RFP/2021 - Sadec RollOut/; Parties/Customers/ARM/Success Story/; Parties/Customers/Assore/Contract/; Parties/Customers/; Parties/Customers/ARM/RFP/ARM Support July 2025 - IT045/1.Working/","Oracle","EBS Capability Statement","2026-06-11","Claude (AI extraction) — Wave 2 Session 2","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W2S1-002-ORA-EBSCapability.md","Approved 2026-06-12 by Hein Blignaut. All 4 BU Lead decisions CLOSED: BU-EBS-001 (Payroll confirmed; approved phrase applied); BU-EBS-002 (clients classified: 5 referenceable ARM/Assore/Adcock/Harmony/Investec; ATNS/NHLS/Tiger/KPMG/MTN source-evidence-only; SARB/DFA restricted; Nala Fusion-only); BU-EBS-003 (Manufacturing removed); BU-EBS-004 (ATNS source-evidence-only). FR-EBS-011 resolved (OIC first-SA claim removed). FR-EBS-012 open (OPN pre-tender check). BEE Level 3 confirmed. Pre-tender checks: OPN cert verification; SARB separate BU approval; ARM success story publication; KPMG 6-country confirmation; register reference letters. Candidate DRAFT at Candidate_Content/Oracle/ marked SUPERSEDED — manual deletion required via Finder. KB destination: 06_Capabilities/Oracle/Oracle_EBS/"
"W2S1-005","Hollywood Bets Accepted Proposal V5.0 (April 2023); RedPath Mining RFI Reply Detail (March 2026)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/; Parties/Customers/RedPath Mining/Working/","Oracle","Implementation Methodology","2026-06-12","Claude (AI extraction) — Wave 2","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W2S1-005-ORA-ImplementationMethodology.md","Approved 2026-06-12 by Hein Blignaut. Wave 2 Session 3. 16 sections + Section 17 Approval Record + Appendices A-C. BU Lead decisions applied: D-W5-001 CLOSED (multi-country blueprint confirmed with softened wording); D-W5-002 CLOSED (OGL softened to available option where licensed and in scope). Full validation pass clean. No prohibited wording. No restricted client references. No W2S1-003/004 duplication. Standing pre-tender checks: D-W5-003 OPN annual revalidation; D-W5-004 BEE expiry 2026-07-31; D-W5-005 named client references from W2S1-001/002 tables; D-W5-006 awards claims require BU confirmation. Candidate at Candidate_Content/Oracle/ marked SUPERSEDED — manual deletion required via Finder. KB destination: 05_Methodologies/Implementation/"
W3S1-001,HIST-007 Hollywood Bets V5.0 Accepted Proposal (April 2023); HIST-015 Afrocentric HCM Proposal V4.0 (2023); HIST-006 SAA HCM RFP Response (June 2025 — capability evidence only),Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/APPSolve_HollywoodBets_Oracle Implementation 3rd part_V5.0.docx; Parties/Customers/Afrocentric Health/RFP/HCM 2023/APPSolve Afrocentric - HCM Proposal V4.0.docx; Parties/Customers/South African Airways/HCM/1.Working/APPSolve_SAA_RFP.docx,Oracle,HCM Capability Statement,2026-06-12,Claude (AI extraction) — Wave 3 Session 1,DIRECT,Approved,Hein Blignaut,Approved,07_Approved_Content/Approved/Oracle/W3S1-001-ORA-HCMCore.md,Wave 3 W3S1-001 Oracle HCM Core — Global HR and Employee Lifecycle. 15 sections + Section 17. All BU Lead decisions CLOSED: OI-W1-001 (HB 8 modules live July 2025 confirmed); OI-W1-002 (Help Desk live July 2025 confirmed); OI-W1-003 (sector framing: retail/mining/professional services approved); OI-W1-004 (AI section retained with platform framing). BU corrections applied: C-W3-001 (aviation removed — SAA not awarded); C-W3-002 (Mr Price Learning Cloud = implementation; broader HCM estate = support only). ORACLE_FACT_BASELINE Section 21 Wave 3 standing governance rules added. Candidate DRAFT marked SUPERSEDED at Candidate_Content/Oracle/W3S1-001-ORA-HCMCore-DRAFT.md. KB destination on approval: 06_Capabilities/Oracle/Oracle_HCM/
"W3S1-002","HIST-007 Hollywood Bets V5.0 Accepted Proposal (April 2023); HIST-015 Afrocentric HCM Proposal V4.0 (2023); HIST-006 SAA HCM RFP Response (June 2025 — platform capability context only)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/APPSolve_HollywoodBets_Oracle Implementation 3rd part_V5.0.docx; Parties/Customers/Afrocentric Health/RFP/HCM 2023/APPSolve Afrocentric - HCM Proposal V4.0.docx; Parties/Customers/South African Airways/HCM/1.Working/APPSolve_SAA_RFP.docx","Oracle","HCM Capability Statement","2026-06-12","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-002-ORA-TalentMgmt.md","Wave 3 W3S1-002 Oracle Talent Management Suite. 13 sections + Section 17 + Appendices A-C. All BU Lead decisions CLOSED. DFA governance (Rule 21.4); Redpath Mining governance (Rule 21.5). KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
