"doc_id","title","doc_type","sub_type","business_unit","service_area","status","expiry_date","days_to_expiry","expiry_status","source_path","kb_path","sidecar_path","date_added","last_reviewed","document_owner","review_frequency","tags","notes","issuing_authority","issue_date","document_number","rating","verified","verified_date","holder_name","holder_type","scanned_ocr","client_name","client_sector","project_name","services_scope","project_start","project_end","value_band","outcome","reference_letter","contact_available","approved_for_reuse","tender_ref","submission_date","reusable_sections","primary_business_unit","strategic_value","reusable_content_score","person_name","role","years_experience","cv_version","available_for_tenders","version","approved_by","key_differentiators"
"HIST-002","MTN Oracle EBS DBA Managed Services - Volume 2 (WON)","HIST","Won","Oracle","Oracle EBS,DBA,Managed Services","Archived","","","No-Expiry","Parties/Customers/MTN/RFP/Archive/ZZ Archive/RFP 20140718 close 20140801/Old Tender/MTN Tender/APPSolve Tender - Volume 2/","","","2026-06-08","2026-06-08","Hein Blignaut","As-Needed","Oracle,EBS,DBA,managed services,MTN,won,methodology,SLA,governance,transition","6 sections: 2.1 Technical Solution; 2.2 Services; 2.3 Performance Standards; 2.4 Governance (.doc); 2.5 Transition; 2.6 Exit (.doc); plus Executive Summary. Won. 2014 vintage - MODERNISE. See EXTRACTION_PLAN.md 1.A-1.F.","","2014-08","","","","","","","No","MTN South Africa","Telecommunications","MTN Oracle EBS DBA Managed Services 2014","Oracle EBS,DBA,Managed Services","","","Unknown","Won","","","No","MTN-RFP-2014-0718","2014-08-01","Executive Summary; Technical Solution; Services Methodology; SLA Framework; Governance Model; Transition Methodology","Oracle","High","3","","","","","","Won MTN DBA; Full methodology in 6 specialist documents; SLA framework; Governance model"
"TMPL-001","Oracle Fusion Proposal Template (Master - September 2024)","TMPL","Active-Template","Oracle","Oracle Cloud,Fusion","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","","","2026-06-08","2026-06-08","Hein Blignaut","Annual","Oracle,Fusion,Cloud,ERP,HCM,SCM,template,company profile","Primary Oracle Fusion proposal template. Confirmed active in SABS 2025 and SANPARKS 2024. Sept 2024 stamp. Company profile: verify years (22 to 24) and partner awards. See EXTRACTION_PLAN.md 2.A-2.B.","","2024-09","","","","","","","No","","","Oracle Fusion Proposal Template","Oracle Cloud,Fusion,ERP,HCM,SCM,CRM,GRC","","","","Active","","","Conditional","","","Oracle Fusion Information (overview and component table); Company profile","Oracle","High","4","","","","","","Sept 2024","Hein Blignaut","Current master template; Oracle Fusion component table; Company profile; Active use 2024-2025"
"TMPL-002","Oracle EBS Proposal Template (Master)","TMPL","Active-Template","Oracle","Oracle EBS","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle EBS/Oracle EBS Template.docx","","","2026-06-08","2026-06-08","Hein Blignaut","Annual","Oracle,EBS,R12,template,proposal,company profile","Primary Oracle EBS proposal template. Parallel structure to Fusion template. Date unknown - verify vintage. Company profile identical to TMPL-001. See EXTRACTION_PLAN.md 4.A-4.B.","","","","","","","","","No","","","Oracle EBS Proposal Template","Oracle EBS,R12,ERP","","","","Active","","","Conditional","","","Oracle EBS Information (EBS overview); Company profile","Oracle","High","3","","","","","","Unknown","","Current master EBS template; EBS capability overview; Company profile"
"TMPL-003","Acumatica Proposal Template - Long Form (September 2025)","TMPL","Active-Template","Acumatica","Acumatica ERP","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Acumatica/APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","","","2026-06-08","2026-06-08","Hein Blignaut","Annual","Acumatica,ERP,template,modules,methodology,BeBanking,Host-to-Host,assumptions","Primary long-form Acumatica template Sept 2025. NOTE: Executive Summary contains HearX Group client content - not a blank template. Sections 3 (12 modules incl BeBanking/H2H); 4 (company profile); 5 (methodology); 7 (assumptions) are reusable. See EXTRACTION_PLAN.md 3.A-3.D.","","2025-09","","","","","","","No","HearX Group (Executive Summary only - do not reuse)","Healthcare / Audiology","Acumatica Long-Form Proposal Template","Acumatica ERP,Distribution,Financials,Inventory,Order Management,BeBanking","","","","Active","","","Conditional","","","Acumatica Information (12 module sections); Implementation Methodology; Company profile; Pricing Assumptions structure","Acumatica","High","4","","","","","","Sept 2025","Hein Blignaut","Current master Acumatica template; 12 module descriptions; Implementation methodology; Full assumption library"
"HIST-003","SITA Host-to-Host BeBanking Proposal - Government H2H (v1.06)","HIST","Unknown","BeBanking","BeBanking,H2H,Managed Services","Archived","","","No-Expiry","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","","","2026-06-08","2026-06-08","Hein Blignaut","As-Needed","BeBanking,H2H,SITA,government,Host-to-Host,support model,hybrid,process flow,pricing options","Most comprehensive government BeBanking H2H proposal. v1.06 = 6 revisions. Outcome unknown. Appendices: Product Module Summary and H2H Process Flow diagram (verify if graphic or text). Dual pricing options (Service Option vs Software Option). See EXTRACTION_PLAN.md 5.A-5.F.","","","","","","","","","No","SITA (State Information Technology Agency)","Government ICT","SITA Host-to-Host BeBanking Implementation","BeBanking,H2H,Host-to-Host,Managed Services","","","Unknown","Unknown","","","No","","","Hybrid Support Model; Service Delivery Team; Continuous Improvement Model; H2H Process Flow; Product Module Summary; Pricing Options Structure","BeBanking","High","3","","","","","","v1.06","","Government BeBanking H2H; Hybrid Support Model; H2H Process Flow; Dual pricing options (Service vs Software)"
"HIST-004","Mpact BeBanking Scoping and Implementation Proposal (December 2019)","HIST","Won","BeBanking","BeBanking,H2H,Implementation","Archived","","","No-Expiry","Parties/Customers/Mpact/RFP/BeBanking/APPSolve Mpact BeBanking Scoping and Implementation Proposal v1 11122019.docx","","","2026-06-08","2026-06-08","Hein Blignaut","As-Needed","BeBanking,Mpact,implementation,methodology,PM,project management,change control,issue management,scoping","Most complete BeBanking implementation methodology in the corpus. Three-part methodology: PM Approach; Implementation Methodology (Project Infrastructure; Issue Management; Change Control). Companion .mpp project plan exists. Mpact is active customer. 2019 vintage - MODERNISE. See EXTRACTION_PLAN.md 6.A-6.F.","","2019-12","","","","","","","No","Mpact (Pty) Ltd","Manufacturing,Packaging","Mpact BeBanking H2H Scoping and Implementation","BeBanking,H2H,Scoping,Implementation","2019-12","","Unknown","Won","","","No","","2019-12-11","Project and Implementation Methodology Summary; PM Approach; Issue Management Process; Change Control Process; Delivery Phases; Pricing Assumptions","BeBanking","High","3","","","","","","v1 (2019-12-11)","","Most complete BeBanking methodology; PM approach; Issue and change control frameworks; Phase delivery model"
"HIST-005","HyDac Acumatica Manufacturing + BeBanking Combined Proposal V5.1 (December 2024)","HIST","Won","Acumatica,BeBanking","Acumatica ERP Manufacturing,BeBanking H2H","Archived","","","No-Expiry","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx","","","2026-06-08","2026-06-08","Hein Blignaut","As-Needed","Acumatica,BeBanking,H2H,manufacturing,combined,V5.1,template,discrete manufacturing,MRP","HIGHEST PRIORITY BeBanking extraction. BeBanking H2H section is standalone reusable block (Dec 2024 = most recent in corpus). V5.1 = 5+ iterations of refinement. Also contains Acumatica Manufacturing modules (Discrete Manufacturing; MRP; Estimating; ECC) not in other templates. File named Template BeBanking - BeBanking section designed as reusable insert. See EXTRACTION_PLAN.md 7.A-7.C.","","2024-12-11","","","","","","","No","HyDac","Manufacturing (Industrial Hydraulics)","HyDac Acumatica Manufacturing ERP + BeBanking H2H","Acumatica ERP,Manufacturing,BeBanking,H2H","2024-12","","Unknown","Won","","","No","","2024-12-11","BeBanking H2H capability section (standalone); Acumatica Manufacturing modules; Combined Acumatica+BeBanking executive summary","Acumatica","High","4","","","","","","V5.1 (2024-12-11)","","Most recent BeBanking H2H block (Dec 2024); Acumatica Manufacturing edition; Combined Acumatica+BeBanking engagement model"
"W1S1-001","APPSolve Company Overview","CORP","Company-Profile","Cross_BU","All","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-001-CORP-CompanyOverview.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","company overview,corporate profile,Cross_BU,geography,industries","Wave 1 Session 1. Fact-checked: 23-year history; 50+ consultants; geography; 18 industries. Approved 2026-06-09.","","","W1S1-001","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Cross_BU","High","4","","","","","","1.0","Hein Blignaut","23-year history; 50+ senior consultants; international footprint; 18 industries"
"W1S1-004","APPSolve Acumatica Partnership Statement","CAP","Partnership-Statement","Acumatica","Acumatica ERP","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Acumatica/APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","07_Approved_Content/Approved/Cross_BU/W1S1-004-ACU-AcumaticaPartnership.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","Acumatica,Gold Partner,partnership,VAR,ERP,industries","Wave 1 Session 1. Fact-checked: Gold Partner tier; industries (Mfg/Dist/FMCG/Prof Svcs/Higher Ed). Approved 2026-06-09.","","","W1S1-004","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Acumatica","High","4","","","","","","1.0","Hein Blignaut","Acumatica Gold Partner; VAR authorised; Manufacturing/Distribution/FMCG/Higher Education"
"W1S1-005","APPSolve BeBanking Product Overview","CAP","Product-Overview","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx","07_Approved_Content/Approved/Cross_BU/W1S1-005-BB-BeBankingOverview.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","BeBanking,H2H,Host-to-Host,banking,Oracle EBS,Oracle Fusion,Acumatica","Wave 1 Session 1. SAP removed; ERP generalised to Oracle EBS/Fusion/Acumatica (D1); banks: all major SA banks. Approved 2026-06-09.","","","W1S1-005","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","5","","","","","","1.0","Hein Blignaut","H2H payment processing; Oracle EBS/Fusion/Acumatica integration; all major SA banks; 7 core capabilities"
"W1S1-007","APPSolve Delivery Model","CAP","Delivery-Model","Cross_BU","All","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-007-CORP-DeliveryModel.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","delivery model,Oracle Level 1 Partner,managed services,DBA,advisory,MRI,service lines","Wave 1 Session 1. Gold→Oracle Level 1 Partner (F3/F4); DBA claim softened (F15). Optional: update legacy tech skills list at next review. Approved 2026-06-09.","","","W1S1-007","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Cross_BU","High","4","","","","","","1.0","Hein Blignaut","Oracle Level 1 Partner; DBA team; MRI Model; 8 service lines; senior-only delivery"
"W1S1-008","APPSolve Geographic Presence","CORP","Geographic-Profile","Cross_BU","All","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-008-CORP-GeographicPresence.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","geography,Sub-Saharan Africa,Botswana,Zambia,Mozambique,Namibia,Tanzania,USA,France,Abu Dhabi,Pakistan","Wave 1 Session 1. Unsubstantiated geographies removed; two-tier language applied. MTN removed (D2). Approved 2026-06-09.","","","W1S1-008","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Cross_BU","High","4","","","","","","1.0","Hein Blignaut","Sub-Saharan Africa 5 markets; international 4 markets; differentiated engagement language"
"W1S1-009","APPSolve Key Differentiators","CAP","Key-Differentiators","Cross_BU","All","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-009-CORP-KeyDifferentiators.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","key differentiators,Hybrid Support Model,CIM,MRI,costing models,50 consultants","Wave 1 Session 1. Headcount 50+; unique→distinctive (D3); 24x7x365→24x7 monitoring with after-hours support (D3). Approved 2026-06-09.","","","W1S1-009","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Cross_BU","High","4","","","","","","1.0","Hein Blignaut","7 differentiators; Hybrid Support Model; CIM 4-stage; 3 costing models including MRI"
"W1S1-002","APPSolve Company History","CORP","Company-History","Cross_BU","All","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-002-CORP-CompanyHistory.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","company history,corporate profile,Cross_BU,founder,Oracle,geography","Wave 1 Session 1. Founder bio trimmed (D4); geography corrected; Oracle Level 1 + awards updated. Approved 2026-06-09.","","","W1S1-002","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Cross_BU","High","4","","","","","","1.0","Hein Blignaut","Founded 2002; 23-year history; Oracle DBA origins to full-service provider; geographic expansion"
"W1S1-003","APPSolve Oracle Partnership Statement","CAP","Partnership-Statement","Oracle","Oracle","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-003-ORA-OraclePartnership.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","Oracle,Level 1 Partner,partnership,expertise,awards,VAR,Cloud Excellence,Linux Specialist","Wave 1 Session 1. Gold→Level 1 Partner; 5 expertise areas confirmed; 2024 awards added. Annual review: revalidate Cloud Excellence Implementer and Linux Specialist on OPN. Approved 2026-06-09.","","","W1S1-003","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Full document","Oracle","High","5","","","","","","1.0","Hein Blignaut","Oracle Level 1 Partner; 5 expertise areas; Oracle VAR; 6 awards 2015–2024; Oracle Backed section"
"W1S1-006","APPSolve Awards and Recognition","CAP","Awards-Recognition","Cross_BU","All","Active","","","No-Expiry","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","07_Approved_Content/Approved/Cross_BU/W1S1-006-CORP-AwardsRecognition.md","","2026-06-09","2026-06-09","Hein Blignaut","Annual","awards,Oracle,recognition,Business Impact Award,EMEA,ECEMEA,success stories","Wave 1 Session 1. 2024 EMEA and ECEMEA awards added. Award table: approved unrestricted. Success stories: Tiger Brands/USAID/UT Grain marked Pending URL Verification. Approved 2026-06-09.","","","W1S1-006","","Yes","2026-06-09","","","No","","","","","","","","","","","Yes","","","Awards table (unrestricted); Success stories (URL verification required before citing)","Cross_BU","High","4","","","","","","1.0","Hein Blignaut","6 Oracle awards 2015–2024; Business Impact Award EMEA 2024; Business Impact Award ECEMEA 2024"
"W1S3-001","BeBanking Product Overview","CAP","Product-Overview","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx + Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","07_Approved_Content/Approved/BeBanking/W1S3-001-BB-ProductOverview.md","","2026-06-10","2026-06-10","Hein Blignaut","Annual","BeBanking,H2H,product overview,9 modules,ERP,API,SAP,Oracle EBS,Oracle Fusion,Acumatica,CMA","Session C. Module table updated (BQ7): Secure File Transfer and Automated Receipt Creation removed; ABSA PoP Integration and International Forex Payment Processing added. ERP compatibility updated. Flexible approval framework. Geographic framing (CMA). D1 applied: SAP as environment integration only. Approved 2026-06-10.","","","W1S3-001","","Yes","2026-06-10","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","4","","","","","","1.0","Hein Blignaut","9-module portfolio; CMA and international deployment; API-first; subscription-only commercial model"
"W1S3-002","BeBanking Host-to-Host Banking Core","CAP","H2H-Core","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","07_Approved_Content/Approved/BeBanking/W1S3-002-BB-HostToHostBanking.md","","2026-06-10","2026-06-10","Hein Blignaut","Annual","BeBanking,H2H,Host-to-Host,banking,process,6-step,approval framework,9 banks,API,SFTP","Session C. Two-Level Approval replaced with flexible approval framework (BQ2). Connect Direct replaced with API/SFTP (BQ1). Full 9-bank list added (BQ4). Acumatica payroll exclusion added. Oracle Fusion and Acumatica integration confirmed. D5 applied: banking partner rule updated in AI_CONTEXT.md. Approved 2026-06-10.","","","W1S3-002","","Yes","2026-06-10","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","4","","","","","","1.0","Hein Blignaut","H2H 6-step process; 9-bank integration list; configurable approval framework; API-first architecture"
"W1S3-003","BeBanking Supplier Payments","CAP","Supplier-Payments","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","07_Approved_Content/Approved/BeBanking/W1S3-003-BB-SupplierPayments.md","","2026-06-10","2026-06-10","Hein Blignaut","Annual","BeBanking,supplier payments,AVS,H2H,PDF remittances,bank account approval,approval framework","Session C. Flexible approval framework applied (BQ2). AVS confirmed active (BQ8). Supplier Bank Account Approval; AVS; H2H Payments; PDF Remittances. Approved 2026-06-10.","","","W1S3-003","","Yes","2026-06-10","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","4","","","","","","1.0","Hein Blignaut","Supplier Bank Account Approval; AVS; Supplier H2H Payments; Supplier PDF Remittances; flexible approval framework"
"W1S3-004","BeBanking Payroll H2H Payments","CAP","Payroll-Payments","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","07_Approved_Content/Approved/BeBanking/W1S3-004-BB-PayrollPayments.md","","2026-06-10","2026-06-10","Hein Blignaut","Annual","BeBanking,payroll,H2H,Oracle EBS,Oracle Fusion,ACB,approval framework,data segregation","Session C. PAY Level 1/2 replaced with flexible approval framework (BQ2). Payroll ERP scope corrected to Oracle EBS and Oracle Fusion only — Acumatica payroll excluded (BQ5). Transmission updated to API/SFTP (BQ1). Permanent rule: Acumatica does not provide payroll functionality in SA. Approved 2026-06-10.","","","W1S3-004","","Yes","2026-06-10","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","4","","","","","","1.0","Hein Blignaut","Payroll H2H from Oracle EBS and Oracle Fusion only; ACB file; flexible approval; data segregation"
"W1S3-006","BeBanking ERP Integration Detail","CAP","ERP-Integration","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","07_Approved_Content/Approved/BeBanking/W1S3-006-BB-ERPIntegration.md","","2026-06-10","2026-06-10","Hein Blignaut","Annual","BeBanking,ERP,Oracle EBS,Oracle Fusion,Acumatica,SAP,integration,module-level","Session C. Connect Direct removed (BQ1). IBY removed. Oracle Fusion section added (BQ6). Acumatica section rewritten (BQ5) — payroll exclusion added. SAP section added (BU confirmed). Retired modules removed (BQ7). D1: SAP wording = environments only. D2: ACH replaced with ZAR domestic EFT. Approved 2026-06-10.","","","W1S3-006","","Yes","2026-06-10","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","4","","","","","","1.0","Hein Blignaut","Oracle EBS integration table; Oracle Fusion integration table; Acumatica integration table; SAP environment note"
"W1S3-007","BeBanking Security","CAP","Security","BeBanking","BeBanking H2H","Active","","","No-Expiry","Parties/Customers/Sita/RFP/H2H/APPSolve SITA Host-to-Host BEBanking Proposal v1 06.docx","07_Approved_Content/Approved/BeBanking/W1S3-007-BB-Security.md","","2026-06-10","2026-06-10","Hein Blignaut","Annual","BeBanking,security,TLS,SFTP,POPIA,GDPR,approval framework,access control,transmission security","Session C. Connect Direct/SSH replaced with API/TLS + SFTP-over-SSH (BQ1). Flexible approval framework (BQ2). POPIA compliance section added (BQ13). GDPR roadmap noted. D4: GDPR roadmap wording retained. Approved 2026-06-10.","","","W1S3-007","","Yes","2026-06-10","","","No","","","","","","","","","","","Yes","","","Full document","BeBanking","High","4","","","","","","1.0","Hein Blignaut","API-first transmission security; POPIA compliant; flexible approval framework; GDPR roadmap"
