Reference_ID,Client_Name,Industry,Business_Unit,Products,Project_Scope,Countries,Named_Reference_Allowed,Letter_Date,Signatory,Signatory_Title,Contract_Value,Relationship_Start,Source_Path,Status,Tier,Governance_Restrictions,Related_Capability_Statements,Related_HIST_Assets
REF-ORA-011,Stellenbosch University,Higher Education / Public Sector,Oracle,Oracle EBS Performance Management (HCM module),"Oracle EBS Performance Management implementation and ongoing support. New engagement from November 2024. Narrow scope (Performance Management only).",South Africa,Yes,12 August 2025,Wessel Nolte,Director: Human Resources Systems and Administration — Stellenbosch University,Not stated,18 November 2024,Tender Pack/References/Reference 2025 Stellenbosch University.pdf,ACTIVE,SILVER,Account manager approval required. Narrow scope (EBS Performance Management only). New engagement — short tenure. Second public sector / university reference.,W3S1-001-ORA-HCMCoreGlobalHR,N/A
REF-ACU-001,Dunlop Srixon Sports SA (DSSSA),Sporting Goods / Distribution,Acumatica,"Acumatica Advanced Distribution Edition, Financials, Fixed Assets, Monitoring & Automation, Inventory Control, Order Management","Full Distribution ERP implementation and ongoing support. Contract value not stated in letter.",South Africa,Yes,2025 (undated exact),Andrew Lamont,Procurement & IT Manager — Dunlop Srixon Sports South Africa,Not disclosed,Not stated,Tender Pack/References/Acumatica References/Signed/DSSSA - Referrence Letter.pdf,ACTIVE,SILVER,Account manager approval required. REF-ACU-001 registered WP7 2026-06-14. Distribution reference. Contract value not disclosed.,W1S2-001-ACU-Financials; W5-ACU-001-ACU-SupportManagedServices,HIST reference (AFROSAI-E corpus)
REF-ACU-002,FuelU2,Distribution / Fuel (TBC),Acumatica,"Acumatica ERP — Finance, Order Management, Distribution","Implementation and support. Letter physically present. September 2025. PDF is scanned — text extraction failed. Scope per KB registration: Finance, Order Management, Distribution.",South Africa,Yes,September 2025,Unknown (PDF scanned — unreadable),Unknown,Not disclosed,Not stated,Tender Pack/References/Acumatica References/Signed/FuelU2 letter 22 09 2025.pdf,ACTIVE — PDF SCANNED (text unextractable),BRONZE,Account manager approval required. REF-ACU-002 registered WP7 2026-06-14. PDF is image-based — cannot display text content. Obtain text/searchable version from client or re-scan.,W5-ACU-001-ACU-SupportManagedServices,HIST reference (AFROSAI-E corpus)
REF-ACU-003,Maxiflex Door Systems SA,Manufacturing / Industrial,Acumatica,"Acumatica Advanced Distribution Edition, Financials, Intercompany Accounting, Fixed Assets, Monitoring & Automation, Inventory Control, Order Management, CRM","Full Distribution ERP + CRM implementation. Intercompany accounting capability (multi-entity). MD-level signatory.",South Africa,Yes,~22 September 2025,Guy Cooke,Managing Director — Maxiflex Door Systems SA,> R3 000 000,Not stated,Tender Pack/References/Acumatica References/Signed/Maxiflex Reference Letter - 22 Sept 2025.pdf,ACTIVE,SILVER,Account manager approval required. REF-ACU-003 registered WP7 2026-06-14. MD signature is strongest Acumatica signatory title. Intercompany accounting scope (multi-entity) = differentiator.,W5-ACU-001-ACU-SupportManagedServices,HIST reference (AFROSAI-E corpus)
REF-ACU-004,At Source (Pty) Ltd,Food / Specialty Foods (FMCG),Acumatica,"Acumatica Advanced Manufacturing Edition, Financials, Monitoring & Automation, Inventory Control, Order Management, Warehouse Management, Discrete Manufacturing","Full Manufacturing ERP including WMS and Discrete Manufacturing. Western Cape agri/food sector. New registration — not in prior WP7 register.",South Africa (Western Cape),Yes,2025 (undated exact),Gerhard Combrinck,Production Manager & ERP Lead — At Source (Pty) Ltd,> R400 000,Not stated,Tender Pack/References/Acumatica References/Signed/ATS - Acumatica Letter.pdf,ACTIVE — NEW REGISTRATION,BRONZE,Account manager approval required. New registration WP9. Manufacturing + WMS scope — useful for manufacturing tender coverage. Contact: gerhard@source.co.za / 063 099 9839.,W5-ACU-001-ACU-SupportManagedServices,N/A
REF-ACU-005,Interconnect Systems,Distribution / Field Services,Acumatica,"Acumatica Advanced Distribution Edition, Financials, Intercompany Accounting, Fixed Assets, Monitoring & Automation, Inventory Control, Order Management, CRM, Project Accounting, Case Management","Broadest Acumatica scope in portfolio. Distribution + CRM + Project Accounting + Case Management. Largest Acumatica contract value. New formal letter registration — previously only referenced in KB capability content.",South Africa,Yes,22 September 2025,Salome Smith,National Admin Manager — Interconnect Systems,> R6 000 000,Not stated,Tender Pack/References/Acumatica References/Signed/Interconnect Systems Reference Letter.pdf,ACTIVE — NEW REGISTRATION,GOLD,Account manager approval required. New formal letter registration WP9 (previously confirmed referenceable in W1S2-006 but no formal REF-ACU-XXX ID). Largest Acumatica contract value. Broadest module coverage.,W5-ACU-001-ACU-SupportManagedServices; W1S2-001-ACU-Financials,N/A
REF-ARC-001,Afrocentric Technologies,Healthcare Technology (Medical Aid),Oracle,"Oracle HR, Oracle Learning, Oracle Performance Management, Oracle iRecruitment, Oracle Self Service, Oracle Payroll, Oracle Financials, Oracle Supply Chain","Full Oracle EBS HCM + Finance + SCM support from March 2007. Wide scope. Letter signed 2021.",South Africa,RESTRICTED,10 February 2021,Molefi Ntsasa,Manager: Corporate Systems — AfroCentric Technologies,Not stated,March 2007,Tender Pack/References/Archive/TCTA/Afrocentric Reference Letter.pdf,ARCHIVED — 4+ YEARS OLD,BRONZE,"HIST-015 RESTRICTION: BU Lead approval required to name Afrocentric externally. Used for delivery methodology corroboration only. Not named in approved KB content. Do not include in tenders without BU Lead override.",N/A,HIST-015
REF-ARC-002,Dark Fibre Africa (DFA),Telecommunications / Infrastructure,Oracle,"Oracle HCM Cloud, Oracle Learning Cloud, Oracle Goal & Performance, Oracle Taleo Recruiting, Oracle Payroll (Cloud), Oracle Financials Cloud, Oracle SCM Cloud, Oracle Integration Cloud (OIC), Oracle EPM, BeBanking H2H, EBS Payroll","Most comprehensive Oracle Cloud scope in archive. BeBanking integration. Multi-product cloud. Letter 2021.",South Africa,NO — RULE 21.4 PERMANENT,10 February 2021,Jonnathan Steyn-Greeff,Executive: Operational Delivery Services — Dark Fibre Africa,Not stated,Not stated,Tender Pack/References/Archive/TCTA/DFA Reference Letter.pdf,ARCHIVED — RULE 21.4 BLOCKED,EXCLUDED,"RULE 21.4 PERMANENT: DFA must NEVER be named in any KB content or external tender submission. Reference letter is in archive for internal corroboration only. This restriction cannot be waived without explicit BU Lead Rule 21.4 override. Letter must NOT be included in any tender pack.",N/A,N/A
REF-ARC-003,Tiger Brands,FMCG / Manufacturing,Oracle,"Oracle HCM Cloud, Oracle HRMS, Oracle Payroll, Oracle Financials, integrations","Oracle HCM Cloud + HRMS + Payroll + Financials. Signed letter February 2021.",South Africa,Yes,23 February 2021,Vanessa Adam-Esa,Application Manager — Tiger Brands,Not stated,Not stated,Tender Pack/References/Archive/TCTA/Tiger Reference Letter.pdf,ARCHIVED — 4+ YEARS OLD,BRONZE,Account manager approval required. Assess per tender (date vintage). 2021 letter may be rejected by evaluators requiring < 3 years. Contact may have changed.,N/A,N/A
REF-ARC-004,South African Reserve Bank (SARB),Public Sector — Central Bank,Oracle,Oracle EBS (scope not confirmed — PDF scanned),Unknown — Oracle EBS scope implied,South Africa,Verify,~2017-2018,Unknown (PDF scanned),Unknown,Not stated,Not stated,Tender Pack/References/Archive/3. SARB SRT 8 SARB Client Reference Letter _Antonette.pdf,ARCHIVED — SCANNED PDF (~8 YEARS OLD),BRONZE,Account manager approval required. PDF is image-based — cannot read content. Very old (~8 years). Obtain text copy or assess whether client contact is still available. Public sector central bank = prestigious if current.,N/A,N/A
REF-ARC-005,First National Bank (FNB),Financial Services / Banking,Oracle,Oracle EBS (scope not confirmed — PDF scanned),Unknown — EBS scope implied,South Africa,Verify,~2017,Unknown (PDF scanned),Unknown,Not stated,Not stated,"Tender Pack/References/Archive/9 FNB Client Reference.pdf, FNB_EBS_REFERENCE2017.pdf",ARCHIVED — SCANNED PDF (~9 YEARS OLD),BRONZE,Account manager approval required. Scanned PDF — unreadable. Very old (~9 years). Financial services / banking sector reference if content confirmed. Assess per tender.,N/A,N/A
REF-ARC-006,Harmony Gold Mining,Mining,Oracle,Oracle EBS (scope not confirmed — PDF scanned),Unknown — EBS mining scope implied,South Africa,Verify,2024 (folder date),Unknown (PDF scanned),Unknown,Not stated,Not stated,Tender Pack/References/Reference 2024 Harmony Letter.pdf,ARCHIVED — SCANNED PDF,BRONZE,"Account manager approval required. 2024 letter date is current but PDF is image-based — text not extractable. Mining sector reference (ARM + Assore + Harmony = three mining references if this is confirmed). Obtain text-extractable version urgently — high value if content is confirmed.",N/A,N/A
REF-ARC-007,BankServ Africa,Financial Services / Payments,Unknown,Unknown (PDF scanned),Unknown,South Africa,Verify,Unknown,Unknown,Unknown,Not stated,Not stated,Tender Pack/References/Archive/8 BankServ APPSolve Reference Letter.pdf,ARCHIVED — SCANNED PDF,BRONZE,Scanned PDF — unreadable. Payments infrastructure company. Assess per tender.,N/A,N/A
REF-ARC-008,Blue Strata,Unknown,Unknown,Unknown (PDF scanned),Unknown,South Africa,Verify,Unknown,Unknown,Unknown,Not stated,Not stated,Tender Pack/References/Archive/7 Blue Strata APPSolve Reference Letter.pdf,ARCHIVED — SCANNED PDF,BRONZE,Scanned PDF — unreadable.,N/A,N/A
REF-ARC-009,National Health Laboratory Service (NHLS),Public Sector — Health,Unknown,Unknown (PDF scanned),Unknown,South Africa,Verify,~2020,Unknown,Unknown,Not stated,Not stated,Tender Pack/References/Archive/NHLS_Main_Reference.pdf,ARCHIVED — SCANNED PDF (~6 YEARS OLD),BRONZE,Scanned PDF — unreadable. NHLS is a major public sector client. Verify content and contact.,N/A,N/A
REF-ARC-010,fastjet,Aviation,Unknown,Unknown (PDF scanned),Unknown,"South Africa, sub-Saharan Africa",Verify — RULE 21.1 CHECK,2019,Unknown,Unknown,Not stated,Not stated,Tender Pack/References/Archive/fastjet reference letter 2019.pdf,ARCHIVED — SCANNED PDF (~7 YEARS OLD),EXCLUDED (PENDING REVIEW),"RULE 21.1 CHECK: Rule 21.1 prohibits naming SAA (South African Airways) in any context. fastjet is a different airline but aviation sector. Clarify with BU Lead whether Rule 21.1 applies to aviation clients generally or only SAA specifically. Do not use until BU Lead confirms. Also: PDF is scanned — unreadable.",N/A,N/A
REF-ARC-011,Global Oil,Energy / Oil & Gas,Unknown,Unknown (PDF scanned),Unknown,South Africa,Verify,Unknown,Unknown,Unknown,Not stated,Not stated,Tender Pack/References/Archive/TCTA/Global Oil Reference for Appsolve.pdf,ARCHIVED — SCANNED PDF,BRONZE,Scanned PDF — unreadable. Assess per tender.,N/A,N/A
