Assumption_ID,Section,Area,Category,Statement_Summary,Risk_If_Invalid,Default_Included,Customer_Action_Required,Version,Status
OIC-CERT-001,55,Certificates,Customer Responsibility,Client procures all SSL/TLS certificates required for HTTPS connectivity,Connectivity fails due to invalid or missing certificate,Yes,Procure and provide all certificates before SIT,1.0,Active
OIC-CERT-002,55,Certificates,Customer Responsibility,All certificates provided to APPSolve before SIT commencement,SIT deferred due to missing certificates,Yes,Provide certificates before SIT start date,1.0,Active
OIC-CERT-003,55,Certificates,Constraint,Delay in certificate availability delays SIT — timeline impact is client's risk,APPSolve held responsible for timeline delay caused by client's certificate procurement delay,Yes,No,1.0,Active
OIC-CERT-004,55,Certificates,Assumption,APPSolve installs and configures certificates in OIC — procurement and endpoint-side installation is client's responsibility,Client expects APPSolve to manage entire certificate lifecycle,Yes,Install certificates in endpoint systems if required,1.0,Active
OIC-CERT-005,55,Certificates,Customer Responsibility,Post-go-live certificate expiry management is client IT team's responsibility,Certificate expires post-go-live; integration fails; APPSolve expected to renew without AMS agreement,Yes,Monitor certificate expiry and renew before expiry,1.0,Active
OIC-MAP-001,56,Data Mapping,Customer Responsibility,Business mapping decisions (source field to target field) are the client's responsibility,Mapping workshops stall when client team cannot make business decisions,Yes,Attend mapping workshops and make mapping decisions,1.0,Active
OIC-MAP-002,56,Data Mapping,Assumption,APPSolve facilitates mapping workshops and produces the Mapping Specification,Client expects APPSolve to produce the mapping without client input,Yes,Attend and contribute to mapping workshops,1.0,Active
OIC-MAP-003,56,Data Mapping,Assumption,Signed Mapping Specification is mandatory prerequisite before build commences,Build starts without signed mapping — rework required when client changes mapping during build,Yes,Review and sign off Mapping Specification,1.0,Active
OIC-MAP-004,56,Data Mapping,Assumption,APPSolve implements transformation logic (lookups / calculations / conditional logic) per approved Mapping Specification,APPSolve makes independent business transformation decisions causing incorrect data,Yes,No,1.0,Active
OIC-MAP-005,56,Data Mapping,Customer Responsibility,Client provides complete code-set translation tables before mapping workshop,Mapping workshop incomplete; cannot build translation lookups without client codes,Yes,Provide all code-set mappings before mapping workshop,1.0,Active
OIC-MAP-006,56,Data Mapping,Constraint,Changes to approved Mapping Specification after build commencement are a Change Request,Client changes field mappings mid-build and expects rework at no additional cost,Yes,No,1.0,Active
OIC-TST-001,57,Testing,Assumption,Two test cycles standard — SIT (APPSolve executes) and UAT (client executes with APPSolve support),Client expects APPSolve to execute UAT on client's behalf,Yes,Appoint UAT testers and execute UAT,1.0,Active
OIC-TST-002,57,Testing,Customer Responsibility,Client provides all test data for SIT and UAT before testing commences,SIT cannot proceed without test data — project delayed,Yes,Provide complete test data before testing starts,1.0,Active
OIC-TST-003,57,Testing,Assumption,APPSolve executes SIT; client executes UAT with APPSolve support,Client expects APPSolve to both execute and manage UAT,Yes,Execute UAT with own team,1.0,Active
OIC-TST-004,57,Testing,Assumption,Defect classification: (a) build defects — APPSolve fixes; (b) data defects — client; (c) mapping defects — mapping change; (d) vendor defects — vendor,All defects assigned to APPSolve regardless of root cause,Yes,No,1.0,Active
OIC-TST-005,57,Testing,Assumption,Client provides written sign-off at each testing milestone before next phase begins,APPSolve proceeds to production without client sign-off — disputed go-live,Yes,Provide written sign-off at SIT completion and UAT completion,1.0,Active
OIC-TST-006,57,Testing,Customer Responsibility,Client manages third-party vendor participation in SIT — vendor unavailability is client's risk,SIT delayed by vendor non-attendance — APPSolve held responsible,Yes,Coordinate vendor participation in SIT,1.0,Active
OIC-PERF-001,58,Performance,Assumption,OIC integrations designed for normal business transaction volumes as specified in Integration Inventory,Actual production volumes exceed estimated volumes — performance issues post-go-live,Yes,Provide accurate transaction volume estimates,1.0,Active
OIC-PERF-002,58,Performance,Exclusion,Load testing and stress testing excluded from standard scope,Client expects load testing to be included in standard OIC engagement,No,Separately contract if required,1.0,Active
OIC-PERF-003,58,Performance,Exclusion,Performance tuning beyond standard OIC configuration excluded,Client expects APPSolve to optimise OIC infrastructure performance — Oracle manages OIC platform,No,Raise with Oracle Support if platform-level performance issues,1.0,Active
OIC-PERF-004,58,Performance,Constraint,OIC performance subject to Oracle OIC published platform limits — not configurable by APPSolve,Integration throughput hits Oracle platform limit — not an APPSolve design defect,Yes,Confirm OIC licence tier provides sufficient message capacity,1.0,Active
OIC-PERF-005,58,Performance,Customer Responsibility,Client provides accurate transaction volume estimates before design phase,Underestimated volumes lead to integration design inadequate for actual production load,Yes,Provide transaction volume estimates (messages per hour / file sizes / peak periods),1.0,Active
OIC-CUT-001,59,Cutover,Assumption,One production cutover event included per integration,Client expects multiple production rehearsals in base scope,Yes,No,1.0,Active
OIC-CUT-002,59,Cutover,Assumption,Rollback plan included for each integration — documented in cutover runbook,No rollback mechanism designed; integration cannot be reversed if production go-live fails,Yes,No,1.0,Active
OIC-CUT-003,59,Cutover,Exclusion,Multiple production cutover rehearsals excluded from standard scope,Client expects 2-3 dress rehearsals before go-live without additional charge,No,Separately contract dress rehearsals if required,1.0,Active
OIC-CUT-004,59,Cutover,Assumption,Production cutover requires client's written go-live authorisation — APPSolve does not deploy without authorisation,APPSolve deploys to production without authority — client disputes production deployment timing,Yes,Provide written go-live authorisation before production deployment,1.0,Active
OIC-CUT-005,59,Cutover,Customer Responsibility,End-to-end data reconciliation at cutover is client's responsibility — APPSolve validates OIC processing,Client expects APPSolve to reconcile business data across source and target,Yes,Perform business-level data reconciliation at cutover,1.0,Active
OIC-MON-001,60,Monitoring,Assumption,Standard OIC monitoring configured — Activity Stream / Error Management console / Alerts,Client expects a custom monitoring portal or integration health dashboard,Yes,No,1.0,Active
OIC-MON-002,60,Monitoring,Assumption,OIC error notification emails configured — recipients confirmed in Scope and Design,No one receives error alerts — integration failures go undetected in production,Yes,Confirm error notification recipients in Scope and Design,1.0,Active
OIC-MON-003,60,Monitoring,Exclusion,Custom monitoring dashboards excluded from standard scope,Client expects a bespoke integration monitoring portal,No,Separately contract if required,1.0,Active
OIC-MON-004,60,Monitoring,Exclusion,Third-party monitoring platform integration (Splunk / Dynatrace / New Relic) excluded,Client expects OIC errors to flow into their enterprise monitoring platform without separate scoping,No,Separately contract if required,1.0,Active
OIC-MON-005,60,Monitoring,Assumption,Post-go-live monitoring ownership is client IT operations team — APPSolve not actively monitoring post-hypercare,APPSolve expected to monitor and respond to OIC errors indefinitely post-project,Yes,No,1.0,Active
OIC-SUP-001,61,Support,Assumption,OIC hypercare aligns to HCM Base standard — 4 weeks / business hours / defect resolution only,Client expects 24x7 integration support in standard hypercare,Yes,No,1.0,Active
OIC-SUP-002,61,Support,Assumption,OIC hypercare runs concurrently with primary module hypercare when delivered in same project,Client expects separate OIC hypercare period after primary module hypercare ends,Yes,No,1.0,Active
OIC-SUP-003,61,Support,Exclusion,Integration enhancements during hypercare excluded (new fields / new integrations / changed frequency),Client uses hypercare as an integration change request resource,No,Raise as Change Request,1.0,Active
OIC-SUP-004,61,Support,Exclusion,Third-party vendor API changes during/after hypercare are outside APPSolve hypercare obligation,Vendor upgrades API version; integration breaks; APPSolve expected to fix under hypercare,No,Separately contract API change management if required,1.0,Active
OIC-CUS-001,62,Customer Responsibilities,Customer Responsibility,Client appoints business owner per integration — accountable for requirements / mapping / UAT sign-off,No business owner; mapping decisions cannot be made; project stalls,Yes,Appoint business owner per integration before Scope and Design,1.0,Active
OIC-CUS-002,62,Customer Responsibilities,Customer Responsibility,Client appoints UAT testers per integration and ensures availability during agreed UAT window,No UAT testers available — UAT deferred; project delayed,Yes,Appoint UAT testers and confirm availability,1.0,Active
OIC-CUS-003,62,Customer Responsibilities,Customer Responsibility,Client ensures all endpoint systems technically ready and accessible before SIT,SIT fails due to endpoint system not configured or deployed in test environment,Yes,Confirm endpoint system readiness before SIT,1.0,Active
OIC-CUS-004,62,Customer Responsibilities,Customer Responsibility,Client IT completes all firewall / IP whitelist / VPN / ACL changes before SIT,SIT fails on connectivity; client IT team's changes are behind schedule,Yes,Complete all network security changes at least 5 business days before SIT,1.0,Active
OIC-CUS-005,62,Customer Responsibilities,Customer Responsibility,Client procures and provides all SSL/TLS certificates before SIT — certificates valid and correctly formatted,SIT fails on certificate error; procurement not started,Yes,Procure and provide certificates before SIT,1.0,Active
OIC-CUS-006,62,Customer Responsibilities,Customer Responsibility,Client ensures all integration endpoints available during agreed testing windows — notifies APPSolve of maintenance 5 business days in advance,SIT/UAT window lost due to planned maintenance not communicated,Yes,Notify APPSolve of endpoint maintenance at least 5 business days in advance,1.0,Active
OIC-CUS-007,62,Customer Responsibilities,Customer Responsibility,Client manages commercial and technical relationship with all third-party vendors — including API docs / sandbox / SIT coordination,Vendor non-responsive; APPSolve expected to manage vendor escalation,Yes,Manage all vendor relationships and ensure vendor participation in SIT,1.0,Active
OIC-CUS-008,62,Customer Responsibilities,Customer Responsibility,Client validates business accuracy of data flowing through integrations during UAT,Client expects APPSolve to validate business accuracy as well as technical accuracy,Yes,Perform business data validation during UAT,1.0,Active
OIC-CUS-009,62,Customer Responsibilities,Customer Responsibility,Client provides written sign-off at: mapping specification / TDD / SIT completion / UAT completion / go-live authorisation,Project proceeds to next phase without formal sign-off; scope disputes at go-live,Yes,Provide written sign-off at each milestone,1.0,Active
OIC-CUS-010,62,Customer Responsibilities,Customer Responsibility,Client IT provisions service accounts before build phase,Build blocked waiting for service account credentials,Yes,Provision service accounts and confirm credentials,1.0,Active
OIC-CUS-011,62,Customer Responsibilities,Customer Responsibility,Client obtains and provides complete API documentation from all third-party vendors before design phase,Design phase cannot be completed without vendor API specs,Yes,Obtain and provide vendor API documentation before design,1.0,Active
OIC-CUS-012,62,Customer Responsibilities,Customer Responsibility,Client holds valid OIC licence; environment provisioned and accessible before development commences,Development cannot start; client expects APPSolve to provision OIC environment,Yes,Ensure OIC is provisioned and accessible before project start,1.0,Active
OIC-DEP-001,63,Dependencies,Dependency,OIC Enterprise licence active and OIC environment provisioned before integration development commences,Development deferred due to OIC provisioning delay,Yes,No,1.0,Active
OIC-DEP-002,63,Dependencies,Dependency,All source and target technical specs finalised before integration design completed,Design changes during build — rework required; scope dispute,Yes,No,1.0,Active
OIC-DEP-003,63,Dependencies,Dependency,Oracle HCM/ERP modules sufficiently configured before SIT of dependent integrations commences,SIT fails because HCM/ERP module has no test data; integration cannot execute,Yes,No,1.0,Active
OIC-DEP-004,63,Dependencies,Dependency,Third-party vendor API availability and documentation available before design phase,Design cannot proceed for integrations where vendor has not provided specs,Yes,No,1.0,Active
OIC-DEP-005,63,Dependencies,Dependency,Mapping Specification and TDD signed off before build commences,Build produces incorrect output because mapping was not approved,Yes,No,1.0,Active
OIC-DEP-006,63,Dependencies,Dependency,Production credentials available at least 5 business days before cutover,Cutover deferred because production credentials not provided,Yes,No,1.0,Active
OIC-CON-001,64,Constraints,Constraint,APPSolve configures OIC only — does not configure / administer / support endpoint systems on either side,APPSolve expected to troubleshoot issues in SAP / PaySpace / SuccessFactors / other endpoints,Yes,No,1.0,Active
OIC-CON-002,64,Constraints,Constraint,Integration performance subject to Oracle OIC platform published limits — APPSolve cannot override,Client expects integration to process volumes beyond Oracle OIC platform limits,Yes,No,1.0,Active
OIC-CON-003,64,Constraints,Constraint,OIC requires Oracle adapter or REST/SOAP/SFTP/DB API at endpoint — no custom adapter development,System with no API and no SFTP cannot be integrated without custom adapter development,Yes,No,1.0,Active
OIC-CON-004,64,Constraints,Constraint,APPSolve cannot guarantee third-party vendor API uptime / versioning / documentation quality,Vendor API changes or goes down; client expects APPSolve to fix at no cost,Yes,No,1.0,Active
OIC-CON-005,64,Constraints,Constraint,Integration scope bounded by signed Integration Inventory — additions require Change Request,Client adds integrations during project without Change Request; estimate exceeded,Yes,No,1.0,Active
OIC-CON-006,64,Constraints,Constraint,Integration complexity classified as Simple / Standard / Complex — tier determines effort estimate,Client disputes estimate claiming their complex integration should be priced as simple,Yes,No,1.0,Active
OIC-EXC-001,65,Exclusions,Exclusion,Data cleansing of source system data excluded,Client expects APPSolve to fix bad data in source system as part of integration project,No,No,1.0,Active
OIC-EXC-002,65,Exclusions,Exclusion,Source system remediation excluded — defects / data issues / API defects in source systems are source system owner's responsibility,APPSolve expected to fix bugs in SAP / PaySpace / legacy system to enable integration,No,No,1.0,Active
OIC-EXC-003,65,Exclusions,Exclusion,Third-party vendor management excluded — client owns vendor commercial relationship,APPSolve expected to chase vendor for API docs / sandbox / support,No,No,1.0,Active
OIC-EXC-004,65,Exclusions,Exclusion,Infrastructure procurement excluded — servers / networks / cloud infra beyond OIC is client's responsibility,Client expects APPSolve to procure SFTP server / API gateway / additional cloud infrastructure,No,No,1.0,Active
OIC-EXC-005,65,Exclusions,Exclusion,Network troubleshooting excluded — client IT / vendor IT responsible for network issues at their layer,APPSolve expected to diagnose and resolve client network or vendor firewall blocking OIC,No,No,1.0,Active
OIC-EXC-006,65,Exclusions,Exclusion,Business process redesign excluded — OIC scope is technical integration not process redesign,Integration triggers a process redesign conversation; APPSolve expected to lead it,No,No,1.0,Active
OIC-EXC-007,65,Exclusions,Exclusion,Change management and user adoption for integrated business processes excluded,Client expects APPSolve to manage change communications for all systems affected by integrations,No,No,1.0,Active
OIC-EXC-008,65,Exclusions,Exclusion,Training beyond agreed super-user / admin scope excluded,Client expects broad end-user training on all integrated systems,No,No,1.0,Active
OIC-EXC-009,65,Exclusions,Exclusion,Managed services / post-hypercare ongoing support excluded from standard implementation contract,Client expects APPSolve to continue monitoring and managing integrations indefinitely,No,Engage APPSolve AMS separately,1.0,Active
OIC-EXC-010,65,Exclusions,Exclusion,24x7 support excluded from standard implementation and hypercare,Client expects round-the-clock integration support during and after project,No,Separately contract 24x7 support,1.0,Active
OIC-EXC-011,65,Exclusions,Exclusion,EDI and AS2 integrations excluded from standard OIC scope,Client assumes EDI integrations are included in standard integration scope,No,Separately assess EDI requirements,1.0,Active
OIC-EXC-012,65,Exclusions,Exclusion,Custom proprietary protocol integrations excluded,Client assumes any endpoint can be integrated with standard OIC effort,No,Separately assess custom protocol requirements,1.0,Active
OIC-EXC-013,65,Exclusions,Exclusion,ESB / message broker replacement programmes excluded from standard OIC scope,Client assumes OIC can replace MuleSoft / Tibco / BizTalk as a project activity,No,Separately scope ESB migration programme,1.0,Active
OIC-EXC-014,65,Exclusions,Exclusion,Load testing and performance benchmarking excluded,Client expects load testing included in OIC project,No,Separately contract load testing,1.0,Active
OIC-EXC-015,65,Exclusions,Exclusion,Custom monitoring dashboards and third-party monitoring platform integration excluded,Client expects OIC errors to flow into Splunk / Dynatrace / custom portal,No,Separately contract monitoring integration,1.0,Active
